,time,lat,lon,SST,LISST_small,LISST_medium,LISST_large,Chl_fl,Scattering,CDOM_fl
0,2017-05-28T08:39:20,21.301040171925106,-158.219294480179,,0.0348199927458047,0.818049100249685,0.393386743590302,0.0544063865546219,5.110389831932779e-05,
1,2017-05-28T08:44:47,21.302041169550897,-158.21901243588002,,0.0326477126438723,0.8079561535799399,0.385621396497708,0.0543170420168067,4.70720662184873e-05,
2,2017-05-28T08:50:13,21.3095900892999,-158.226545513329,,0.0306305872957567,0.8155301480617471,0.415805684740286,0.0533389198782961,4.6325134191176394e-05,
3,2017-05-28T08:55:40,21.3204064280644,-158.237055809513,,0.0324621140073408,0.75948304346509,0.349691678245733,0.0509149362970995,4.21691902277041e-05,
4,2017-05-28T09:01:07,21.3314407905179,-158.247438425888,,,,,,,1.68363964285714
5,2017-05-28T09:06:34,21.3454989813576,-158.252492256875,,,,,0.0499885714285714,5.3068235294117605e-05,1.68100857142857
6,2017-05-28T09:12:01,21.359691991982398,-158.257471850127,,0.0334397245577475,0.7326760743519419,0.26766973208501504,0.04960497478991599,4.973089310924339e-05,
7,2017-05-28T09:17:29,21.373790919226998,-158.262606777385,,0.0341700313458013,0.768816122774071,0.295765717332151,0.0529805042016807,5.3802887394957786e-05,
8,2017-05-28T09:22:56,21.387902825256106,-158.267798206457,,0.0368894414652662,0.791122995975117,0.332234727605458,0.053408268907563,5.48351909243695e-05,
9,2017-05-28T09:28:23,21.4021536341847,-158.273158475597,,0.0332419755325137,0.74592135799154,0.44108120234683296,0.0514658823529412,5.21936924369745e-05,
10,2017-05-28T09:33:50,21.416195696380697,-158.278911918582,,0.0344722978117993,0.7653376639403091,0.27607698233851,0.0541476302521008,4.90762043697478e-05,
11,2017-05-28T09:39:17,21.4303021865887,-158.284770451198,,0.0322993932098347,0.789566317384178,0.3751229854902971,0.0545031932773109,5.04908609243695e-05,
12,2017-05-28T09:44:45,21.444490727525306,-158.290526796558,,0.0335376000534136,0.7994419932292379,0.34020199039652005,0.0566803361344538,5.03484882352938e-05,
13,2017-05-28T09:50:12,21.4588711042537,-158.296159767174,,0.0337173082145977,0.8007818242671841,0.326367117649868,0.0556658823529412,5.18448680672267e-05,
14,2017-05-28T09:55:39,21.4729555986313,-158.30185108516702,,0.0411721345800403,0.839575408215133,0.450992175872359,0.0807969205746815,5.5362065220927e-05,1.6792217142857098
15,2017-05-28T10:39:21,21.582321061637696,-158.34742058595,,0.0332745474571495,0.7391747039299251,0.3680427648365779,0.0528786554621849,4.82841970588234e-05,
16,2017-05-28T10:44:49,21.5963808688771,-158.34489791037902,,0.0331599962996148,0.7164308897396531,0.32456090160892404,0.0518351596638656,4.88295453781513e-05,
17,2017-05-28T10:50:16,21.610294423981102,-158.341524935177,,0.0323799598689682,0.739151299411933,0.496146494265385,0.0503364705882353,4.677969453781501e-05,
18,2017-05-28T10:55:43,21.6242055514707,-158.338058964359,,,,,0.0536732773109244,4.783902857142871e-05,
19,2017-05-28T11:01:11,21.6383142520066,-158.334763091457,,,,,,,1.66685
20,2017-05-28T11:06:38,21.6525146304853,-158.331344210877,,,,,0.0516342857142857,4.81147487394955e-05,1.64754285714286
21,2017-05-28T11:12:06,21.6668303070728,-158.32786495135701,,,,,0.0507801680672269,4.9058334453780795e-05,
22,2017-05-28T11:17:33,21.681181296614,-158.324190214199,,,,,0.0534106890756302,4.92979537815118e-05,
23,2017-05-28T11:23:01,21.695513828811197,-158.32041350793,,,,,0.0558066554621849,4.9943166050419704e-05,
24,2017-05-28T11:28:29,21.709903346494396,-158.316847930097,,,,,0.0554863865546219,5.11458655462179e-05,
25,2017-05-28T11:33:56,21.7243842670907,-158.313177203561,,,,,0.0605513949579832,4.827963932773061e-05,
26,2017-05-28T11:39:24,21.7390083075741,-158.309639476746,,,,,0.0658346218487395,4.8875122689075e-05,
27,2017-05-28T11:44:52,21.7537576634445,-158.306075814275,,,,,0.065958050420168,4.80749475630248e-05,
28,2017-05-28T11:50:19,21.7685419725352,-158.302626363391,,,,,0.0642272268907563,4.666168991596579e-05,
29,2017-05-28T11:55:47,21.783105778917605,-158.299031360952,,,,,0.0544619788560586,4.724741149363e-05,1.67705628571429
30,2017-05-28T12:39:22,21.896105425777,-158.269849895866,,,,,0.0479818487394958,4.15547747899161e-05,
31,2017-05-28T12:44:50,21.9103701171223,-158.266981330578,,,,,0.0480221848739496,4.08666025210086e-05,
32,2017-05-28T12:50:17,21.924868610467602,-158.2664253416,,,,,0.0485616806722689,4.33183008403363e-05,
33,2017-05-28T12:55:45,21.9394255775658,-158.266347142593,,,,,0.0496981512605042,4.23498957983194e-05,
34,2017-05-28T13:01:13,21.953943982542,-158.266553267855,,,,,,,1.69948285714286
35,2017-05-28T13:06:41,21.968199922528896,-158.266550560476,,,,,0.0579872268907563,5.25524445378154e-05,1.68805
36,2017-05-28T13:12:09,21.9824047442102,-158.26592913731702,,,,,0.0554228571428572,4.9682878991597e-05,
37,2017-05-28T13:17:36,21.9967763589389,-158.2631272297,,,,,0.0563269915966387,5.22773561344541e-05,
38,2017-05-28T13:23:04,22.0110184995782,-158.257277712131,,,,,0.0581929411764706,4.94419058823531e-05,
39,2017-05-28T13:28:32,22.025099031583,-158.251515212081,,,,,0.0601278655462185,5.06639193277316e-05,
40,2017-05-28T13:34:00,22.0397055241081,-158.24565588717,,,,,0.0585263743315508,5.2820788647823105e-05,
41,2017-05-28T13:39:28,22.054231488424893,-158.23866979354202,,,,,0.0544144537815126,5.149085420168111e-05,
