,time,lat,lon,SST,LISST_small,LISST_medium,LISST_large,Chl_fl,Scattering,CDOM_fl
0,2016-04-19T21:24:00,21.3436939753827,-158.27257925500498,25.742690948207606,,,,0.0544063865546219,5.110389831932779e-05,
1,2016-04-19T21:29:25,21.3449919329449,-158.274197117605,25.7580293677703,0.00615361971476611,0.6586166863827879,0.452482881644216,0.0543170420168067,4.70720662184873e-05,
2,2016-04-19T21:34:51,21.3461038592405,-158.273938987941,25.8626202109187,,,,0.0533389198782961,4.6325134191176394e-05,
3,2016-04-19T21:40:17,21.3476178637532,-158.273669339133,25.7874427324436,,,,0.0509149362970995,4.21691902277041e-05,
4,2016-04-19T21:45:43,21.348438249142397,-158.273663689461,25.9323780888085,,,,,,1.68363964285714
5,2016-04-19T21:51:08,21.349718273544106,-158.273785467389,25.789270701642103,,,,0.0499885714285714,5.3068235294117605e-05,1.68100857142857
6,2016-04-19T21:56:34,21.3509245481792,-158.274101714107,25.8943587163632,,,,0.04960497478991599,4.973089310924339e-05,
7,2016-04-19T22:02:00,21.351668053001895,-158.274240414261,26.0370819299089,,,,0.0529805042016807,5.3802887394957786e-05,
8,2016-04-19T22:07:25,21.3523888486417,-158.274258807466,26.056066357361498,,,,0.053408268907563,5.48351909243695e-05,
9,2016-04-19T22:12:51,21.3530739367135,-158.27424903184,26.1452255617561,0.0061070899635182795,0.5600855581046079,0.462416322711411,0.0514658823529412,5.21936924369745e-05,
10,2016-04-19T22:18:17,21.3537757214012,-158.274242431262,26.107523673216,,,,0.0541476302521008,4.90762043697478e-05,
11,2016-04-19T22:23:43,21.3544299674137,-158.274279019178,26.1342593408569,0.0063533182607081705,0.559413132592634,0.425270514157474,0.0545031932773109,5.04908609243695e-05,
12,2016-04-19T22:29:08,21.3552831872187,-158.274682612759,25.895000328087306,,,,0.0566803361344538,5.03484882352938e-05,
13,2016-04-19T22:34:34,21.355975058258,-158.27503641556,26.0388529512074,0.00335926843145699,0.564745016653078,0.492800063215127,0.0556658823529412,5.18448680672267e-05,
14,2016-04-19T22:39:59,21.356442439351802,-158.275103157391,26.163143383972503,0.0033802412461494107,0.526970294130581,0.43822850310948497,0.0807969205746815,5.5362065220927e-05,1.6792217142857098
15,2016-04-19T23:24:00,21.361267584271,-158.282529014896,26.4750406669477,0.0050969896685811,0.6012373865457371,0.480729225216137,0.0528786554621849,4.82841970588234e-05,
16,2016-04-19T23:29:25,21.369304379403697,-158.28484025329,26.169174250114196,,,,0.0518351596638656,4.88295453781513e-05,
17,2016-04-19T23:34:50,21.3823507596476,-158.288743301015,26.0482455950526,0.00512154312547678,0.6020365017642529,0.928304116153202,0.0503364705882353,4.677969453781501e-05,
18,2016-04-19T23:40:16,21.39569287613,-158.292932710798,25.9946549003853,0.00903358493758034,0.6794700056551739,0.477507927103678,0.0536732773109244,4.783902857142871e-05,
19,2016-04-19T23:45:41,21.408815092748497,-158.29723696035904,25.868191504962002,,,,,,1.66685
20,2016-04-19T23:51:06,21.4219321804892,-158.30151171118,25.8440571234359,0.0115919874175305,0.7612162802906179,0.5013779238873579,0.0516342857142857,4.81147487394955e-05,1.64754285714286
21,2016-04-19T23:56:32,21.434867913485306,-158.305737364196,25.8186656965477,0.005973257784925999,0.798150448227648,0.615720642623526,0.0507801680672269,4.9058334453780795e-05,
22,2016-04-20T00:01:57,21.448003673744303,-158.309316401345,25.837278286157602,,,,0.0534106890756302,4.92979537815118e-05,
23,2016-04-20T00:07:22,21.4610857271417,-158.313129796074,25.8200363616827,,,,0.0558066554621849,4.9943166050419704e-05,
24,2016-04-20T00:12:48,21.4742857445184,-158.316671332859,25.7952215143077,0.0101856383386429,0.833051014097525,0.517303047664293,0.0554863865546219,5.11458655462179e-05,
25,2016-04-20T00:18:13,21.487506061745897,-158.32042336171003,25.782481958564897,0.007512635880490609,0.857732714195615,0.6679436148029251,0.0605513949579832,4.827963932773061e-05,
26,2016-04-20T00:23:39,21.5006880007096,-158.32418676854,25.7530492674895,0.007351224074161278,0.8595299479169871,0.547652334838551,0.0658346218487395,4.8875122689075e-05,
27,2016-04-20T00:29:04,21.5138894229848,-158.327993405639,25.735256130186702,0.00787809420204956,0.870897734906058,0.546905170038283,0.065958050420168,4.80749475630248e-05,
28,2016-04-20T00:34:29,21.526891449422802,-158.33191111955,25.724215987763,0.00918096651462536,0.8978121269636992,0.668895906589459,0.0642272268907563,4.666168991596579e-05,
29,2016-04-20T00:39:55,21.5398994350288,-158.33542301465098,25.7126808239716,0.0084320002594709,0.907504095516594,0.767128409648991,0.0544619788560586,4.724741149363e-05,1.67705628571429
30,2016-04-20T01:24:00,21.647690283392702,-158.325054561073,25.6827797688975,0.006757936192724461,0.8841400713342721,0.571570219513275,0.0479818487394958,4.15547747899161e-05,
31,2016-04-20T01:29:25,21.6607236392553,-158.323350425513,25.6795750406852,0.008418695497865959,0.909440119631121,0.5861783453645191,0.0480221848739496,4.08666025210086e-05,
32,2016-04-20T01:34:50,21.6739329968224,-158.32175931395201,25.66787800986,0.0137383195234775,0.9832116956121568,0.6635812306325789,0.0485616806722689,4.33183008403363e-05,
33,2016-04-20T01:40:16,21.6871658365367,-158.320322603233,25.5303707479821,0.0104452924316741,1.04882080513986,0.81568405272486,0.0496981512605042,4.23498957983194e-05,
34,2016-04-20T01:45:41,21.700059269418997,-158.318959675326,25.5697332241126,,,,,,1.69948285714286
35,2016-04-20T01:51:06,21.7129308869317,-158.317462165429,25.5332233794374,0.0074156681707861095,1.05232178036359,1.05056599749904,0.0579872268907563,5.25524445378154e-05,1.68805
